scheduled_date,scheduled_time,weekday,board,board_secondary,image_path,title,description,destination_link,priority
2026-06-29,09:00,Mon,Travel Prep Checklists,Packing Light & Capsule Wardrobe,site/images/pinterest/airport-bags-photo.png,"Airport Security Bags: Carry-On Size, Personal Item & What Actually Fits","A practical guide to airport-compatible bags for international travel — carry-on size rules across major airlines, personal item dimensions, common rejections at the gate, and a decision framework for picking a bag that survives security and the overhead bin.",https://kytriples.github.io/travel-now-agent/articles/airport-security-bag-rules.html,1
2026-06-29,12:00,Mon,Packing Light & Capsule Wardrobe,,site/images/pinterest/capsule-photo.png,"Capsule Wardrobe for 2-Week Trips: 10 Items, 3 Climates","A practical packing guide on building a 10-item capsule wardrobe that works across hot tropical, temperate, and cool climates. Fabric choices, layering logic, color palette, and a laundry strategy abroad.",https://kytriples.github.io/travel-now-agent/articles/capsule-wardrobe-2-week-trips.html,1
2026-06-29,15:00,Mon,Travel Prep Checklists,Packing Light & Capsule Wardrobe,site/images/pinterest/airport-liquids-photo.png,Airport Security Liquids Checklist: The 100ml Rule Made Simple,"A practical airport security liquids checklist — travel-size containers, the clear plastic bag rules, common rejections at security, and quick FAQ. Sort it before the line, not at the gate.",https://kytriples.github.io/travel-now-agent/articles/airport-security-liquids.html,1
2026-06-29,18:00,Mon,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/carry-on-photo.png,Carry-On Packing Order: Pack for Airport Security Like a Pro,"Pack your carry-on in the order airport security expects — liquids on top, laptop accessible, passport in pocket, charger logic. A small reorder saves real stress at the screening line.",https://kytriples.github.io/travel-now-agent/articles/airport-security-packing-moments.html,1
2026-06-29,21:00,Mon,Travel Prep Checklists,Packing Light & Capsule Wardrobe,site/images/pinterest/airport-security-checklist-photo.png,Airport Security Checklist: A 12-Point Pre-Flight Verification (2026),"A 12-point pre-flight airport security checklist for international travelers — TSA, EU, UK, Japan, and Australia rules compared. Liquids, electronics, documents, prohibited items, and the packing order that gets you through faster. Pre-flight, not at the gate.",https://kytriples.github.io/travel-now-agent/articles/airport-security-checklist.html,1
2026-06-30,09:00,Tue,"Travel Tech: eSIM, Insurance & Booking",Travel Prep Checklists,site/images/pinterest/esim-photo.png,eSIM Setup for International Travel: Activation Checklist,"A practical eSIM activation checklist — phone compatibility, choosing a data plan, offline backup tips, and quick answers before your flight. Save the scramble for something else.",https://kytriples.github.io/travel-now-agent/articles/esim-activation-and-preparation.html,1
2026-06-30,12:00,Tue,Packing Light & Capsule Wardrobe,,site/images/pinterest/capsule-photo-w2.png,10-Item Capsule Wardrobe for 2-Week International Trips,"A practical 10-item capsule wardrobe for 2-week trips that works across hot tropical, temperate, and cool climates. Fabric choices, layering logic, color palette, and a laundry strategy abroad.",https://kytriples.github.io/travel-now-agent/articles/capsule-wardrobe-2-week-trips.html,1
2026-06-30,15:00,Tue,Travel Prep Checklists,Packing Light & Capsule Wardrobe,site/images/pinterest/airport-liquids-photo-w2.png,100ml Rule Cheat Sheet: Airport Liquids for Carry-On,"A quick-reference 100ml rule guide for carry-on liquids — travel-size containers, clear plastic bag basics, common rejections at security, and the FAQ that saves stress at the gate.",https://kytriples.github.io/travel-now-agent/articles/airport-security-liquids.html,1
2026-06-30,18:00,Tue,Packing Light & Capsule Wardrobe,Travel Prep Checklists,site/images/pinterest/carry-on-photo-w2.png,Carry-On Packing: The 4-Step Order Airport Security Wants,"A 4-step carry-on packing order that matches what airport security actually expects — liquids on top, laptop accessible, passport in pocket, charger logic. A small reorder, real time saved.",https://kytriples.github.io/travel-now-agent/articles/airport-security-packing-moments.html,1
2026-06-30,21:00,Tue,Cultural Travel & Etiquette,,site/images/pinterest/etiquette-photo.png,What Counts as Rude in 12 Cultures: A Travel Etiquette Guide,"A long-form, academically grounded guide to what counts as rude in 12 cultures — Goffman's face theory, Hofstede's dimensions, and 12 country case studies with field examples for international travelers.",https://kytriples.github.io/travel-now-agent/articles/what-counts-as-rude.html,1
