slug,country,region,plug_types,voltage,frequency,traveler_notes,quirk
japan,Japan,East Asia,A and B,100 V,50/60 Hz,"Travelers from the US/Canada share Type A but should note Japan's lower 100 V. Visitors from the UK, EU and Australia need a plug adapter.","Japan runs at 100 V — the lowest mains voltage in the world. Most dual-voltage electronics cope fine, but check anything with a heating element."
south-korea,South Korea,East Asia,C and F,220 V,60 Hz,"Travelers from the EU share Types C/F and usually need no adapter. Visitors from the US, UK and Australia need a plug adapter.","South Korea moved to the European-style 220 V round-pin standard; older buildings may still have Type A outlets."
china,China,East Asia,"A, C and I",220 V,50 Hz,"Type A suits US plugs, Type I suits Australian plugs, Type C suits much of Europe. UK travelers need an adapter.","Mainland China is unusually accommodating — it accepts three plug standards, but voltage is 220 V."
thailand,Thailand,Southeast Asia,"A, B, C and O",220 V,50 Hz,"US plugs (A/B) and European plugs (C) both fit many Thai sockets. UK and Australian travelers need a plug adapter.","Many Thai sockets are hybrid and accept both flat (A/B) and round (C) pins, but always at 220 V."
vietnam,Vietnam,Southeast Asia,"A, C and F",220 V,50 Hz,"US plugs (A) and European plugs (C/F) both fit common Vietnamese sockets. UK and Australian travelers need an adapter.","Vietnam's sockets often take both US-style flat pins and European round pins; voltage is 220 V."
singapore,Singapore,Southeast Asia,G,230 V,50 Hz,"Travelers from the UK and Ireland share Type G and need no adapter. Visitors from the US, EU and Australia need a plug adapter.","Singapore uses the UK three-rectangular-pin Type G plug — handy if you're coming from Britain, an adapter for everyone else."
india,India,South Asia,"C, D and M",230 V,50 Hz,"European Type C plugs fit the smaller sockets. Travelers from the US, UK and Australia need a plug adapter.","India uses large round-pin Type D/M for higher-draw appliances; for phones and laptops a Type C adapter is usually enough."
united-kingdom,United Kingdom,Europe,G,230 V,50 Hz,"Travelers from Ireland and Singapore share Type G. Visitors from the US, EU and Australia need a plug adapter.","The UK's Type G plug is large and fused — distinctive, and not interchangeable with European round pins."
france,France,Europe,C and E,230 V,50 Hz,"Travelers from most of continental Europe need no adapter. Visitors from the US, UK and Australia need a plug adapter.","France uses Type E, which adds an earth pin to the standard European Type C outlet."
germany,Germany,Europe,C and F,230 V,50 Hz,"Travelers from most of continental Europe need no adapter. Visitors from the US, UK and Australia need a plug adapter.","Germany's Type F 'Schuko' socket is the most common European standard and also accepts Type C plugs."
italy,Italy,Europe,"C, F and L",230 V,50 Hz,"Most European plugs fit, though Italy's Type L is distinctive. Visitors from the US, UK and Australia need an adapter.","Italy's Type L has three in-line round pins; many modern Italian sockets are hybrid and also take Type C/F."
spain,Spain,Europe,C and F,230 V,50 Hz,"Travelers from most of continental Europe need no adapter. Visitors from the US, UK and Australia need a plug adapter.","Spain uses the standard European Type C/F round-pin sockets at 230 V."
switzerland,Switzerland,Europe,C and J,230 V,50 Hz,"Type C plugs fit, but Switzerland's Type J is unique. Visitors from the US, UK, Australia and even some EU travelers need an adapter.","Switzerland's Type J socket is recessed and Swiss-specific — a standard Europlug (C) fits, but Type F 'Schuko' plugs often do not."
united-states,United States,North America,A and B,120 V,60 Hz,"Travelers from Canada, Japan and Mexico share Type A/B. Visitors from the UK, EU and Australia need a plug adapter.","The US runs at 120 V/60 Hz — visitors from 230 V countries should confirm their devices are dual-voltage (most phones and laptops are)."
canada,Canada,North America,A and B,120 V,60 Hz,"Travelers from the US, Japan and Mexico share Type A/B. Visitors from the UK, EU and Australia need a plug adapter.","Canada matches the US standard: Type A/B at 120 V/60 Hz."
australia,Australia,Oceania,I,230 V,50 Hz,"Travelers from New Zealand and China share Type I. Visitors from the US, UK and EU need a plug adapter.","Australia's Type I plug with its angled flat pins is shared with New Zealand and parts of China and Argentina."
new-zealand,New Zealand,Oceania,I,230 V,50 Hz,"Travelers from Australia and China share Type I. Visitors from the US, UK and EU need a plug adapter.","New Zealand uses the same angled-pin Type I plug as Australia, at 230 V."
united-arab-emirates,United Arab Emirates,Middle East,"C, D and G",230 V,50 Hz,"Travelers from the UK share the dominant Type G. Visitors from the US, EU and Australia need a plug adapter.","The UAE follows the British Type G standard in most hotels, a legacy of historic ties to Britain."
brazil,Brazil,South America,C and N,"127 / 220 V",60 Hz,"European Type C plugs fit Brazil's Type N sockets. Travelers from the US, UK and Australia need an adapter — and should watch the voltage.","Brazil is the voltage trap: some regions run 127 V and others 220 V, sometimes within the same city. Always check the local label."
south-africa,South Africa,Africa,"D, M and N",230 V,50 Hz,"South Africa's large Type M is distinctive; newer sockets add Type N. Travelers from everywhere typically need an adapter.","South Africa's Type M plug is unusually large; a dedicated South Africa adapter is worth buying before you go."
